,EMPLOYEE_ID,RATINGS_2021,JOB_FAMILY_GROUP,MANAGER_ID,GENDER,TERMINATION_TYPE,STATUS,JOB_PROFILE_NAME,JOB_FAMILY_DESC,WORK_ADDRESS_COUNTRY,engagement_score,risk_score,Promotional_Opportunities,Relationship_with_manager
4505,1169762.0,On Track,Finance,814891.0,Female,None,Active,Senior Analyst - Treasury Operations,TREASURY OPERATIONS,United Kingdom,52,0.2865360930406668,-9999.0,-9999.0
4506,1248538.0,On Track,Information Technology,1053781.0,Male,None,Active,Analyst - IT Product Support,IT PRODUCT SUPPORT,India,15,0.5134826993122984,-9999.0,-9999.0
4507,1163999.0,Stand Out,Finance,523785.0,Female,None,Active,Staff Accountant II,GENERAL ACCOUNTING,Colombia,2,0.2739929564936875,-9999.0,-9999.0
4508,1248044.0,On Track,Information Technology,1254368.0,Male,None,Active,Senior Applications Development Analyst,APPLICATIONS DEVELOPMENT,India,53,0.2513116222978946,-9999.0,-9999.0
4509,1248043.0,On Track,Human Resources,1194610.0,Male,None,Active,Senior HR Manager,REGIONAL HR,Canada,55,0.6922498738032082,-9999.0,-9999.0
4510,1248115.0,On Track,Information Technology,1163444.0,Female,None,Active,IT Project Manager,IT PROJECT MANAGEMENT,India,47,0.3389674931568969,-9999.0,-9999.0
4511,848569.0,On Track,Information Technology,846603.0,Male,None,Active,Applications Developer,APPLICATIONS DEVELOPMENT,India,87,0.496604947796922,-9999.0,-9999.0
4512,1248082.0,On Track,Human Resources,1034566.0,Female,None,Active,HR Reporting & Analytics Specialist,HR REPORTING & ANALYTICS,United States of America,63,0.5674597742121609,-9999.0,-9999.0
4513,1248055.0,On Track,Information Technology,1013271.0,Male,None,Active,IT Quality Assurance Analyst,IT QUALITY & ASSURANCE TESTING,India,6,0.4955247324343888,-9999.0,-9999.0
4514,1248056.0,On Track,Information Technology,1062203.0,Male,None,Active,Business Intelligence Reporting - Analyst,BUSINESS INTELLIGENCE REPORTING,India,61,0.3656339245979222,-9999.0,-9999.0
